student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
1,18,Other,High School,7.64,1.56,2.2,3.05,2.19,6.52,6.47,81,38,1,0,Good,10,43.05,31.77,73.65,50.16
2,18,Other,High School,2.21,2.22,2.1,1.65,2.55,5.97,6.05,111,339,0,0,Good,3,15.92,37.0,13.7,1.0
3,22,Male,High School,3.45,0.0,0.29,1.34,2.08,8.39,7.62,68,266,0,1,Good,8,27.39,34.37,45.15,18.3
4,17,Other,High School,5.75,2.08,3.01,2.27,2.2,6.31,11.67,113,480,1,1,Poor,3,22.31,77.31,20.92,9.37
5,19,Other,High School,6.83,1.72,3.33,2.65,0.7,8.01,10.02,121,24,1,0,Good,8,38.11,39.53,59.23,27.81
6,25,Male,Undergraduate,2.21,3.5,1.69,4.47,1.56,8.34,8.06,110,288,0,1,Average,8,30.52,33.64,36.2,18.53
7,22,Other,High School,4.6,2.37,1.27,3.12,1.89,7.61,11.34,19,123,1,1,Poor,6,33.26,62.01,37.59,10.35
8,17,Male,High School,8.77,3.78,2.09,1.76,3.13,7.62,7.27,135,379,1,0,Good,1,31.98,45.98,45.04,19.89
9,16,Female,Undergraduate,6.6,0.84,1.0,4.39,0.85,8.29,8.24,101,308,1,0,Average,10,30.23,49.44,61.83,30.73
10,17,Female,High School,3.98,0.16,1.29,3.2,2.13,5.43,7.79,142,415,1,0,Average,9,20.26,60.78,29.06,8.99
11,25,Other,Postgraduate,2.28,2.69,2.95,3.27,0.6,6.4,4.94,146,24,1,1,Poor,8,19.21,48.25,24.48,11.65
12,16,Male,High School,5.99,2.6,1.06,0.89,2.72,7.08,7.68,130,157,0,0,Good,2,25.04,36.14,31.13,15.01
13,16,Other,Postgraduate,4.88,1.65,0.0,3.68,1.39,4.96,8.8,93,193,1,0,Good,10,32.97,51.79,48.33,22.09
14,25,Other,Undergraduate,5.33,2.07,1.31,3.84,1.63,6.17,10.88,58,298,0,0,Poor,7,31.13,50.49,39.3,22.12
15,19,Other,Postgraduate,5.31,1.21,0.92,1.97,0.22,7.19,6.94,139,34,0,0,Average,6,31.07,28.0,50.61,29.83
16,20,Other,Undergraduate,3.85,3.09,3.36,2.13,2.75,5.09,7.39,97,413,0,0,Average,4,21.66,41.97,26.95,14.69
17,16,Other,Undergraduate,4.91,1.57,2.79,3.34,0.68,8.0,5.63,78,297,1,1,Poor,4,32.28,58.06,28.09,13.12
18,16,Male,Undergraduate,3.44,3.74,2.29,4.32,0.49,6.75,6.21,60,134,1,1,Good,8,27.96,60.78,37.66,14.18
19,20,Other,Postgraduate,5.08,1.57,1.82,3.75,1.74,6.23,8.47,85,56,1,0,Poor,2,13.74,54.29,24.66,6.54
